msg_id,src_app,dst_app,timestamp,src_ip,dst_ip,protocol,src_port,dst_port,app_protocol,payload_size,latency_ms,layer,flags,message
1,client_app,server_app,0.001,192.233.29.121,154.221.118.140,UDP,49349,53,SMTP,0,79.966,Application,SYN,RCPT TO:<bob@example.com>
2,client_app,server_app,0.308223,10.101.47.176,74.15.108.254,TCP,27320,993,SMTP,0,106.927,Application,,QUIT
3,client_app,server_app,0.799213,192.126.38.38,75.43.89.89,UDP,34214,110,FTP,0,66.383,Application,RST,LIST -al
4,client_app,server_app,0.841074,192.5.187.144,97.180.78.93,TCP,61039,443,DNS,128,58.029,Application,"SYN,ACK",Standard query MX gmail.com
5,client_app,server_app,1.00774,10.212.181.234,90.6.210.9,TCP,33554,22,DNS,64,113.535,Transport,ACK,Standard query MX gmail.com
6,client_app,server_app,1.142691,192.206.222.105,43.40.68.137,TCP,22621,995,HTTP,2048,51.994,Application,RST,GET /style.css HTTP/1.1
7,client_app,server_app,1.147504,172.185.68.161,28.191.191.88,TCP,61933,995,SMTP,512,69.217,Application,"FIN,ACK",250 OK
8,client_app,server_app,1.478796,192.232.47.54,27.76.104.247,TCP,18664,21,FTP,0,146.421,Transport,RST,LIST -al
9,client_app,server_app,1.546998,172.119.198.234,50.5.147.24,UDP,1362,53,SSH,64,53.491,Transport,RST,Key Exchange Init
10,client_app,server_app,1.821005,172.183.141.83,169.106.137.39,TCP,61533,143,HTTPS,256,3.856,Application,"FIN,ACK",Data payload for HTTPS
11,client_app,server_app,2.222807,192.235.192.155,133.43.169.30,TCP,10630,21,HTTPS,512,58.585,Transport,ACK,Data payload for HTTPS
12,client_app,server_app,2.682095,10.240.132.19,83.62.253.161,TCP,22504,110,DNS,128,45.146,Application,ACK,Standard query response A 142.250.1.1
13,client_app,server_app,2.719782,192.62.222.151,33.228.103.155,UDP,7417,110,FTP,128,56.548,Transport,ACK,LIST -al
14,client_app,server_app,2.824991,192.164.200.183,151.28.168.112,TCP,54955,53,HTTP,2048,120.818,Transport,RST,HTTP/1.1 404 Not Found
15,client_app,server_app,3.24244,172.174.23.9,126.130.106.132,UDP,27095,143,HTTP,1024,71.252,Transport,ACK,HTTP/1.1 404 Not Found
16,client_app,server_app,3.292208,172.49.214.165,161.16.38.188,UDP,12510,22,HTTPS,0,78.058,Application,"FIN,ACK",Data payload for HTTPS
17,client_app,server_app,3.402993,172.247.27.198,91.114.172.104,UDP,2945,993,HTTPS,0,123.384,Transport,"SYN,ACK",Data payload for HTTPS
18,client_app,server_app,3.546614,172.41.88.161,24.119.41.14,TCP,62172,443,HTTP,128,44.234,Application,"SYN,ACK",GET /index.html HTTP/1.1
19,client_app,server_app,3.766902,10.34.156.84,32.239.178.120,TCP,48757,993,FTP,64,36.169,Application,"FIN,ACK",LIST -al
